public,performance,q1,q2,q3,q4,q5,q6,q7,q8,q9,age,white,ideology,religion,gender,group,effectiveness,benevolence,redtape,efficiency
0,1,5,5,5,5,5,4,3,5,5,19,0,3,3,0,1,-.65230858,-.22206908,.16036789,-.20228776
1,0,5,5,5,5,5,4,3,6,6,19,0,3,4,0,2,-.77140331,.59726846,.089482896,-.16509186
0,0,5,6,6,6,7,4,2,6,6,19,0,3,4,0,0,-.094422981,.48777756,.82203567,-.47242436
0,1,7,6,7,6,7,2,2,6,6,21,1,4,1,1,1,.83056307,.35440895,.91713083,-.92836624
0,0,5,5,4,5,5,2,4,6,5,20,0,4,1,1,0,-1.0047195,.20012103,.064396106,-.55367821
0,1,6,6,6,5,5,5,3,5,4,18,1,3,1,1,1,.43895,-.773785,.10342082,.091018252
0,1,6,6,6,3,4,5,2,7,6,20,1,1,4,0,1,.2152113,.88753766,-.78961122,-.053331163
1,0,4,5,5,3,3,4,5,5,5,20,1,2,3,0,2,-.87830007,-.17403464,-1.1163728,.26151437
0,1,6,6,5,5,6,4,5,5,5,18,1,2,2,1,1,.10204833,-.36428705,.2844899,.39279327
0,0,7,7,7,3,5,3,3,6,7,19,1,5,1,1,0,1.2413883,.72431922,-.57073522,-.29054788
0,1,7,7,6,6,6,4,4,6,6,20,0,3,2,1,1,.95909494,.32687482,.50449693,.16802131
0,1,6,6,6,6,6,5,5,6,6,18,1,3,1,0,1,.28272107,.42452767,.44567254,.69207758
1,1,6,6,6,6,7,4,4,5,6,19,1,2,4,0,3,.31167239,.013910044,.84292644,.15308234
1,0,7,7,7,7,7,4,4,7,7,18,0,3,1,0,2,1.1404086,1.0988042,.92161936,.17989424
1,0,6,4,4,4,4,4,4,4,4,18,1,2,1,1,2,-.89909017,-.99149209,-.1699346,.17550422
0,0,6,6,6,3,6,4,4,6,6,21,0,4,3,0,0,.31880555,.4291001,-.32879537,.21863595
1,1,5,4,4,4,3,3,4,3,3,18,1,4,3,1,3,-1.0944396,-1.7545081,-.43215054,-.27752203
0,1,7,7,7,5,6,2,3,6,6,18,1,4,1,1,1,1.2672738,.29560456,.23777102,-.69239283
1,0,6,6,6,6,3,4,2,6,6,19,1,2,4,0,2,.19677599,.49635383,-.13497579,-.46858689
1,1,5,5,5,4,5,4,4,4,5,20,1,2,1,0,3,-.55589741,-.6397841,-.10687248,.10563851
1,1,6,6,4,3,4,2,6,5,5,18,0,3,1,1,3,-.16447446,-.32234415,-.80851412,.077113301
1,1,7,7,7,7,7,5,3,7,7,18,1,4,1,1,3,1.1201948,1.1134555,.9880594,.22466961
0,1,4,4,4,4,4,4,4,4,4,22,0,3,4,1,1,-1.5133363,-.89960045,-.31731451,.0017206116
0,0,6,6,7,5,6,1,1,6,6,20,1,4,1,0,0,.51355773,.42093721,.36958876,-1.5748852
0,1,7,7,7,6,6,4,5,5,5,18,1,3,1,0,1,1.4191638,-.53882658,.46186393,.38084939
0,0,6,6,4,4,3,3,6,5,4,18,1,2,1,0,0,-.1188779,-.7184779,-.79103297,.28280208
0,1,6,7,7,5,6,4,4,6,6,19,1,3,1,1,1,.99038494,.33666351,.10284784,.10046488
0,1,6,7,7,5,4,4,2,5,6,18,1,3,2,1,1,.9871794,-.018411282,-.20648432,-.45604575
0,0,6,5,6,4,3,3,4,6,6,19,1,2,4,0,0,-.11361544,.52777535,-.74657708,-.1451672
0,0,7,6,6,7,7,6,6,6,6,19,1,3,2,1,0,.59972638,.35799941,.99321461,1.3385966
1,0,5,6,6,6,7,4,4,7,6,18,0,4,1,0,2,-.099179454,.87011343,.61601716,.04255908
1,0,6,6,6,4,2,3,5,3,5,20,0,3,1,1,2,.52492595,-1.1594344,-.92268699,.044530813
1,0,6,6,6,6,6,4,3,5,5,19,1,3,1,1,2,.35136771,-.37527177,.64423084,-.18009247
0,1,6,6,7,6,3,4,2,6,7,18,1,4,1,0,1,.44696584,.87559527,-.17806467,-.43295085
1,1,6,6,6,4,6,3,3,6,6,18,1,3,1,0,3,.27091861,.43843153,.013319054,-.38564956
0,0,4,6,6,6,1,3,5,7,4,20,1,1,2,0,0,-.27551416,.1547735,-1.0816144,-.31171283
0,1,6,5,4,3,5,3,5,4,5,19,1,4,1,0,1,-.52498782,-.66660351,-.32995462,.1938415
0,0,7,7,7,7,7,1,3,7,7,18,1,5,4,1,0,1.1068343,1.1004363,.98111695,-1.0080302
1,0,5,5,6,3,2,4,4,6,6,19,1,4,4,0,2,-.40038654,.58941668,-1.3553524,.088063337
1,0,7,6,6,6,6,4,2,5,5,19,1,4,1,1,2,.63493681,-.40982112,.78262526,-.35660025
0,0,7,5,6,3,6,4,4,6,5,19,1,4,1,1,0,.29701397,.028794184,-.18299568,.29588965
1,0,5,5,6,4,5,4,4,6,6,18,0,4,1,1,2,-.40943632,.54971486,-.30318069,.11764311
0,0,7,7,7,5,4,4,5,5,6,20,1,3,3,1,0,1.3649644,-.098546498,-.32690769,.42104483
0,1,4,3,3,3,3,6,6,4,3,23,1,2,3,1,1,-2.088871,-1.2228358,-.85914987,1.1605545
0,0,5,5,5,3,5,4,2,7,6,19,0,2,2,1,0,-.80483598,1.0114143,-.48071349,-.37488523
0,1,7,7,7,7,7,2,6,6,6,19,1,3,1,0,1,1.2999309,.25016412,.85962421,.053147592
0,0,5,4,4,5,4,2,3,5,5,20,1,3,3,1,0,-1.3765349,-.12013207,.025869269,-.78665215
0,1,6,6,6,6,6,3,3,6,6,18,1,4,1,1,1,.22893289,.44081101,.57161021,-.4510715
0,1,6,6,7,6,5,3,4,7,7,18,0,2,1,1,1,.44683129,1.2274152,.12953189,-.18461519
